id_hex,candidate,popcount,kinds,sources
0x00000000,BGSWAGERS,0,type500,demo
0x04084011,SHARDSSMOKABLE,5,sprite|anim,demo
0x085860d4,GEMCOMMON,10,sprite|anim,demo
0x088c5011,BOSSRIFLERY,8,sprite|anim,demo
0x0c01c014,POWERUPSHIFTER,7,sprite|anim,beta
0x1000c042,BIGINWEAVE,5,audio,demo
0x12800031,RIGHTBARA,6,sprite|anim,demo
0x12800031,RIGHTCRAGSMEN,6,sprite|anim,demo
0x18248010,SHARDSUGALI,6,sprite|anim,beta
0x1e089010,RIGHTSKINNING,8,sprite|anim,demo
0x21842018,ENDDEBRIEF,7,sprite|anim,demo
0x2470e0f2,GRABJACULATE,13,audio,beta
0x28a0c119,1TREHALAS,10,sprite|anim,beta
0x28a0c119,2RARE,10,sprite|anim,beta
0x28a0c119,DDEMAIN,10,sprite|anim,beta
0x28a0c119,DOGSEROUS,10,sprite|anim,beta
0x28a0c119,HEADHAS,10,sprite|anim,beta
0x28a0c119,HEADISL,10,sprite|anim,beta
0x28a0c119,HEADMOLEISM,10,sprite|anim,beta
0x28a0c119,MAGETRUSSER,10,sprite|anim,beta
0x28a0c119,RUNFLAMES,10,sprite|anim,beta
0x28a0c119,WIZTIDEHEAD,10,sprite|anim,beta
0x28c080df,FLAGMACAN,12,sprite|anim,demo
0x29808408,SHARDSDENARY,7,audio,demo
0x2c182010,PHARTLIGULIN,7,sprite|anim,demo
0x2c182010,TEXTSCOUTING,7,sprite|anim,demo
0x3080820d,AMAZINGLUST,8,sprite|anim,beta
0x3080820d,STARTLANDSALE,8,sprite|anim,beta
0x3080820d,STARTSHINZA,8,sprite|anim,beta
0x3080840d,AMAZINGASSE,8,sprite|anim,beta
0x30a0c119,AGRAEME,10,sprite|anim,beta
0x38a0c119,HEADFIREBASE,11,sprite|anim,beta
0x38a0c119,MENUENSEAT,11,sprite|anim,beta
0x5862f614,ENGINEQUEMADO,14,audio,beta
0x68009240,COINSOFTIE,7,audio,demo
0x90810000,TROMBONECREEM,4,audio,demo
0x90c24401,BTNTHIOZONE,8,audio,beta
0xa8482860,DOWNMOUNTLET,9,sprite|anim,demo
0xcc6c8070,DAMAGECAURALE,12,audio,beta
