id_hex,tokenA,tokenB,name_underscore,name_bare,score,kinds,popcount
0x28a0c119,HEAD,HAS,HEAD_HAS,HEADHAS,8,sprite|anim,10
0x28a0c119,HEAD,ISL,HEAD_ISL,HEADISL,8,sprite|anim,10
0x38a0c119,MENU,ENSEAT,MENU_ENSEAT,MENUENSEAT,8,sprite|anim,11
0x00000000,SHARD,SONGER,SHARD_SONGER,SHARDSONGER,5,type500,0
0x12800031,RIGHT,BARA,RIGHT_BARA,RIGHTBARA,5,sprite|anim,6
0x18248010,RED,FAZING,RED_FAZING,REDFAZING,5,sprite|anim,6
0x1847c001,VARIANT,MAPPY,VARIANT_MAPPY,VARIANTMAPPY,5,type700,9
0x1847c001,VARIANT,SKIFF,VARIANT_SKIFF,VARIANTSKIFF,5,type700,9
0x28a0c119,GORDO,LENSED,GORDO_LENSED,GORDOLENSED,5,sprite|anim,10
0x28a0c119,SHARD,AGNEAN,SHARD_AGNEAN,SHARDAGNEAN,5,sprite|anim,10
0x28a0c119,RUN,FLAMES,RUN_FLAMES,RUNFLAMES,5,sprite|anim,10
0x28a0c119,OLD,PYRENE,OLD_PYRENE,OLDPYRENE,5,sprite|anim,10
0x3080820d,START,SHINZA,START_SHINZA,STARTSHINZA,5,sprite|anim,8
0x38a0c119,HORN,CORREO,HORN_CORREO,HORNCORREO,5,sprite|anim,11
0x68009240,COIN,SOFTIE,COIN_SOFTIE,COINSOFTIE,5,audio,7
0x72000210,SHARD,BLABBY,SHARD_BLABBY,SHARDBLABBY,5,type700,6
